# x,y,z,J_x_err,J_y_err,J_z_err
-5.184646486653259057e-02,-9.112642192125479379e-02,1.116974385933633060e-02,1.643034096751989921e+02,4.935854084618063187e-02,3.888779771741041600e+02
-5.359484665407077131e-02,-9.024676947102960867e-02,1.593296859652794384e-02,3.967055087151670136e+02,1.821185599023711398e-03,1.191413761922328796e+01
-5.351516280584448643e-02,-9.052933272989467650e-02,1.379856232788321396e-02,7.208801934268191758e+01,4.931323970058725664e-03,4.860529324294014408e+00
-5.291451396887277003e-02,-9.069051479280547390e-02,1.471036344033021734e-02,2.881005310395082688e+02,4.976564953354928149e-03,2.603692678582901721e+01
-5.297316312391345261e-02,-8.998428033914769586e-02,1.267288687767757251e-02,5.581440975850350128e+01,1.728388296070419022e-03,1.743286952026308123e+00
-5.440986688943272309e-02,-8.975511684283817015e-02,1.440442961261957470e-02,2.573439499952467031e+02,8.459587109260547841e-03,2.913540853823659571e+00
-5.432554267218593635e-02,-8.947506323583516441e-02,1.567030185518370269e-02,2.876502743092344616e+01,8.463782898671223798e-03,6.203320663325291306e+00
-5.009437243827098013e-02,-9.362611805787274255e-02,1.725432841099105302e-02,2.374375332312301623e+01,3.237820027787991634e-02,2.009969032763541179e+02
-5.066631779828645321e-02,-9.166321859308650122e-02,1.900288088109834683e-02,2.400084446293052665e+01,4.695191546480342176e-02,1.189313172961594489e+01
-4.871162160122387286e-02,-9.362623920409619827e-02,1.840646770273189625e-02,4.241955158907408929e+00,2.935495648022336257e-02,2.304773567652485440e+02
-4.802333327181320527e-02,-9.300466663352827124e-02,1.725699664517569773e-02,2.397971319940890851e+02,1.310763377267541892e-02,5.880858735264288839e+01
-4.996170514437862226e-02,-9.389149795825119105e-02,1.849858863810017670e-02,9.371572094030018008e+00,3.180422553597206381e-02,2.233105109416241874e+02
-5.127078882926074804e-02,-9.153251639285911456e-02,1.810645508005335677e-02,6.930536870208247535e+01,4.655986632580124546e-02,9.418269091880380017e+01
-5.070878823080235409e-02,-9.241731504713035505e-02,1.698818861831677754e-02,1.103811001448577400e+02,2.919014616677530552e-02,1.180423102807304900e+02
-4.997164990593569445e-02,-9.281339714773623184e-02,1.912887464647089128e-02,1.568352027428710471e+01,3.701789354550349270e-02,7.748619002020474156e+00
