a_field_0,a_field_1,a_field_2,x_0,x_1,x_2
-415461907226.3,-72085080102.919,67410440899.547,-0.048579627085025,-0.074413478758825,-0.097070392151825
-152312877035.28,-115488475173.11,35487962574.219,-0.07616727527285,-0.029497703611075,-0.089659014419125
-152518347785.71,-125669302122.6,125577580820.79,-0.07556858525345,-0.028985103985,-0.08246103115435
-163869913510.27,-153761134762.39,40258209745.383,-0.0737723820844,-0.036762907186825,-0.093802966365925
-160622680257.63,-158718774526.96,34260687857.761,-0.078161961282475,-0.0343104978242,-0.090383367354675
-25077880708.362,-180860432080.26,528359478246.76,-0.096902780438475,-0.075556747178925,-0.0501470119598
-75990649104.469,-218331964664.41,530891584288.17,-0.09248879503725,-0.0726579179567,-0.050778690293675
54455972023.941,-238528252978.04,715990499620.74,-0.087780972901925,-0.07544274455895,-0.0452022421592
-49670601358.509,-330094196758.48,538443819381.1,-0.0957572893875,-0.060800802808575,-0.050717381051875
-84524240224.869,-253814451588.28,533289282313.42,-0.091343303986275,-0.066554064987725,-0.051413980524975
-368835128778.45,-2532088142572.7,560301427492.71,-0.05426409055285,-0.0649688020516,0.00950755966994
-357087729215.96,-2534186600866.5,530929908734.9,-0.054464532305075,-0.06497978306895,0.01075371319812
-112796647417.3,-2779767960449.4,487090210650.91,-0.053882622667575,-0.0660680744135,0.011000063025125
11218410560.089,-3399965231017.5,556423367529.43,-0.05387413008925,-0.069396544464225,0.011043814900328
-220087791478.57,-3119064255015.5,475496643249.29,-0.0545850449824,-0.068265851461125,0.010806982321695
-128956550957.01,-3579632540499.2,713634464556.89,-0.054281610893775,-0.070520863103225,0.011505444604288
-192625146712.66,-2917839891152.5,590939634838.94,-0.0542803400602,-0.067165742774575,0.01144306326893
-346919977166.23,-2627201244192.8,434987333283.52,-0.05417769018165,-0.0640515601351,0.011485719367318
-78940104474.679,-2587992758738.6,374095734192.68,-0.055442100498025,-0.064047137113675,0.011595784357235
-76909633430.773,-2578085399313.6,383156157558.15,-0.05572894262145,-0.064975360047525,0.010863778188037
-183220434922.54,-90644582479.328,939187547360.41,-0.082880055130175,-0.09344313443615,-0.041637457576325
48700472774.009,-154335918691.33,1161025247200.4,-0.07980538551955,-0.0884308183384,-0.03214628445665
34178734467.665,-40176303896.436,952782288436.84,-0.08923080241905,-0.09605137209445,-0.0422228053207
-122018198778.37,-254851163875.63,809104077318.81,-0.08215931798455,-0.08822665911955,-0.0387911304831
88187216577.265,-167601291137.43,1146521638848.9,-0.086156132808425,-0.086708928977775,-0.030231632201025
-32317591820.572,-341174859657.04,784245697152.05,-0.096902780438475,-0.07922792207885,-0.042707941266975
104799226792.06,-161821212455.13,853591820615.22,-0.09321788740875,-0.091721245075525,-0.037513855669125
-35822791902.814,-283649510375.06,777860687429.84,-0.088510065273425,-0.086504769758925,-0.036876478227475
-17392892151.468,-117384357144.03,776624929494.67,-0.096902780438475,-0.087564608324,-0.042732076901325
-20575834683.27,-336992389426.47,791013965615.79,-0.09219495830315,-0.078168083513775,-0.03947587049485
18029497009.673,-232184612243.18,975464804034.22,-0.096315106970275,-0.095669872981075,-0.029876472098275
-172316912702.57,-2367958413168.2,310159708916.19,-0.05697769876435,-0.06407138923435,0.0092543772498625
21667679164.671,-2590926541615.9,565218509632.64,-0.056443564543675,-0.0654706194515,0.0096559850908175
-49740620040.226,-2844706986578.2,711532549930.98,-0.0548702216157,-0.06727176343285,0.00834899845829
-197682855283.28,-3134382166071.8,917848616649.01,-0.055375368290125,-0.06838285313675,0.008959071039235
-211317129767.63,-2554422070613.9,688101203519.02,-0.0553323164071,-0.065881333600675,0.0086668305426975
-518429953963.69,-44700785642.856,74539654007.038,-0.042437676781575,-0.092323106135775,-0.09239616523705
-541336744414.84,-15086717833.005,60029071180.103,-0.037669806604275,-0.09640554784595,-0.088066038218125
-496290301979.35,-32401808695.195,45636064462.588,-0.03719747141375,-0.088188183631875,-0.09657359204445
-584398053317.08,-9118346244.4583,84890529465.212,-0.03002356518455,-0.09640554784595,-0.092243465025525
-584398053318.61,22870891173.138,51332417053.579,-0.02992960123645,-0.09227062534205,-0.09657359204445
-32750962762.105,-383676802214.73,442355020919.03,-0.0902185430787,-0.0472915387068,-0.0466009392605
-30464620947.686,-285854096513.75,483993487890.63,-0.08882047794325,-0.05267377880805,-0.048535408995175
